,power
0,0.0275
1,0.0271
2,0.0268
3,0.0294
4,0.0285
5,0.0284
6,0.0303
7,0.0304
8,0.0285
9,0.0293
10,0.0297
11,0.0289
12,0.0282
13,0.0258
14,0.0294
15,0.0282
16,0.0278
17,0.0274
18,0.0327
19,0.0293
20,0.0532
21,0.0526
22,0.0537
23,0.0535
24,0.0526
25,0.0523
26,0.05
27,0.0552
28,0.0516
29,0.0517
30,0.0527
31,0.0489
32,0.0529
33,0.0526
34,0.0511
35,0.0524
36,0.0514
37,0.0517
38,0.052
39,0.0549
40,0.0752
41,0.0753
42,0.0768
43,0.0736
44,0.0795
45,0.0727
46,0.0786
47,0.0811
48,0.0735
49,0.0747
50,0.0823
51,0.0753
52,0.0774
53,0.0748
54,0.0783
55,0.0739
56,0.0728
57,0.0814
58,0.0729
59,0.0763
60,0.0963
61,0.0986
62,0.0976
63,0.097
64,0.1013
65,0.0987
66,0.095
67,0.0967
68,0.098
69,0.0988
70,0.0942
71,0.1013
72,0.1008
73,0.0955
74,0.0982
75,0.0971
76,0.0985
77,0.0972
78,0.0969
79,0.1006
80,0.1175
81,0.1178
82,0.1156
83,0.1187
84,0.1169
85,0.1158
86,0.1191
87,0.1134
88,0.1132
89,0.1205
90,0.1178
91,0.1216
92,0.1204
93,0.1178
94,0.1191
95,0.1159
96,0.1153
97,0.1167
98,0.1155
99,0.1157
