,power
0,0.2128
1,0.1856
2,0.2118
3,0.2319
4,0.1999
5,0.1692
6,0.2323
7,0.208
8,0.205
9,0.2126
10,0.1805
11,0.2196
12,0.2226
13,0.236
14,0.1902
15,0.2152
16,0.2003
17,0.2185
18,0.2342
19,0.2225
20,0.2048
21,0.1776
22,0.2055
23,0.1972
24,0.1854
25,0.2194
26,0.2047
27,0.2164
28,0.2139
29,0.2195
30,0.2156
31,0.2235
32,0.2266
33,0.2075
34,0.2131
35,0.1981
36,0.1807
37,0.2088
38,0.2212
39,0.1972
40,0.2125
41,0.2366
42,0.1766
43,0.2197
44,0.2192
45,0.2282
46,0.2076
47,0.2057
48,0.1814
49,0.1862
50,0.4332
51,0.4275
52,0.4208
53,0.417
54,0.409
55,0.4155
56,0.3898
57,0.4101
58,0.4007
59,0.3906
60,0.3995
61,0.3882
62,0.3903
63,0.3897
64,0.3907
65,0.379
66,0.3751
67,0.3705
68,0.3591
69,0.3643
70,0.3615
71,0.366
72,0.3631
73,0.3644
74,0.35
75,0.359
76,0.3448
77,0.3482
78,0.3195
79,0.3408
80,0.3267
81,0.3291
82,0.3257
83,0.3205
84,0.3185
85,0.3196
86,0.325
87,0.3281
88,0.3105
89,0.296
90,0.2903
91,0.3024
92,0.3141
93,0.3053
94,0.2953
95,0.301
96,0.3028
97,0.292
98,0.2891
99,0.2941
