,power
0,0.0504
1,0.1449
2,0.1085
3,0.1488
4,0.2389
5,0.2506
6,0.33
7,0.3028
8,0.2352
9,0.1934
10,0.2108
11,0.2297
12,0.2383
13,0.2217
14,0.2114
15,0.112
16,0.2133
17,0.1682
18,0.1615
19,0.1441
20,0.2385
21,0.1249
22,0.1619
23,0.1567
24,0.1181
25,0.1544
26,0.0934
27,0.0881
28,0.1092
29,0.0815
30,0.1114
31,0.0922
32,0.1096
33,0.0851
34,0.0843
35,0.1402
36,0.0916
37,0.0875
38,0.1153
39,0.1019
40,0.0958
41,0.1014
42,0.0805
43,0.1095
44,0.0969
45,0.0751
46,0.0891
47,0.0952
48,0.0763
49,0.1203
50,0.0971
51,0.0722
52,0.0955
53,0.0868
54,0.1394
55,0.0827
56,0.0752
57,0.0916
58,0.1145
59,0.0898
60,0.0967
61,0.0762
62,0.0901
63,0.0833
64,0.101
65,0.0827
66,0.0848
67,0.0815
68,0.079
69,0.0925
70,0.0744
71,0.0707
72,0.0764
73,0.079
74,0.0825
75,0.0831
76,0.0745
77,0.086
78,0.0812
79,0.0844
80,0.0757
81,0.0938
82,0.0793
83,0.0769
84,0.073
85,0.0747
86,0.0934
87,0.0944
88,0.0709
89,0.0745
90,0.0714
91,0.0738
92,0.0668
93,0.0731
94,0.0691
95,0.0832
96,0.0793
97,0.0747
98,0.0745
99,0.0744
