,power
0,0.0375
1,0.0367
2,0.0378
3,0.0352
4,0.0355
5,0.0377
6,0.0375
7,0.0376
8,0.036
9,0.0368
10,0.0388
11,0.0383
12,0.0367
13,0.0362
14,0.0363
15,0.0356
16,0.0359
17,0.0362
18,0.0382
19,0.0362
20,0.0655
21,0.0724
22,0.0725
23,0.068
24,0.0711
25,0.0682
26,0.069
27,0.0712
28,0.0695
29,0.0658
30,0.0702
31,0.0705
32,0.0662
33,0.071
34,0.0712
35,0.0701
36,0.0696
37,0.0684
38,0.072
39,0.0704
40,0.1045
41,0.1038
42,0.1014
43,0.0994
44,0.1037
45,0.1003
46,0.1002
47,0.1035
48,0.101
49,0.0981
50,0.1034
51,0.1022
52,0.1027
53,0.1049
54,0.0989
55,0.1009
56,0.0976
57,0.1026
58,0.1017
59,0.0999
60,0.1253
61,0.1331
62,0.1248
63,0.1251
64,0.1313
65,0.1285
66,0.1246
67,0.126
68,0.1284
69,0.1268
70,0.1215
71,0.134
72,0.1267
73,0.1264
74,0.1297
75,0.1235
76,0.1317
77,0.1311
78,0.1322
79,0.1329
