,power
0,0.1361
1,0.0921
2,0.1247
3,0.1424
4,0.1108
5,0.1378
6,0.1085
7,0.12
8,0.1185
9,0.1391
10,0.1028
11,0.1252
12,0.1078
13,0.1447
14,0.11
15,0.1185
16,0.1222
17,0.1261
18,0.1108
19,0.092
20,0.1287
21,0.1101
22,0.1424
23,0.1084
24,0.1012
25,0.1094
26,0.0918
27,0.1413
28,0.1012
29,0.1352
30,0.1142
31,0.1487
32,0.0978
33,0.1097
34,0.1276
35,0.1017
36,0.1183
37,0.1634
38,0.1271
39,0.1106
40,0.1269
41,0.1218
42,0.1269
43,0.0915
44,0.1087
45,0.0954
46,0.1253
47,0.1112
48,0.1271
49,0.1337
50,0.1361
51,0.121
52,0.117
53,0.1516
54,0.1094
55,0.1039
56,0.1013
57,0.1121
58,0.1098
59,0.1023
60,0.1315
61,0.1029
62,0.1138
63,0.1028
64,0.0934
65,0.1643
66,0.1387
67,0.1398
68,0.1418
69,0.1168
70,0.1164
71,0.0819
72,0.1081
73,0.0896
74,0.1293
75,0.1083
76,0.0902
77,0.1304
78,0.1244
79,0.1151
80,0.1179
81,0.1378
82,0.1203
83,0.1089
84,0.1272
85,0.11
86,0.1143
87,0.0977
88,0.1281
89,0.1161
90,0.1086
91,0.1144
92,0.1494
93,0.1167
94,0.1107
95,0.1401
96,0.1247
97,0.1216
98,0.1153
99,0.1106
