,power
0,0.0396
1,0.0391
2,0.0402
3,0.0416
4,0.0393
5,0.0423
6,0.0404
7,0.0394
8,0.0401
9,0.0394
10,0.0391
11,0.0395
12,0.0412
13,0.0364
14,0.0391
15,0.0375
16,0.0393
17,0.0396
18,0.0397
19,0.0401
20,0.0393
21,0.0392
22,0.0392
23,0.0421
24,0.0434
25,0.0414
26,0.0379
27,0.041
28,0.0383
29,0.0403
30,0.0395
31,0.0409
32,0.0421
33,0.039
34,0.0815
35,0.0778
36,0.0813
37,0.0793
38,0.0797
39,0.0827
40,0.0838
41,0.0761
42,0.0792
43,0.0755
44,0.0769
45,0.0837
46,0.0771
47,0.0774
48,0.0798
49,0.0786
50,0.0748
51,0.0736
52,0.0812
53,0.0795
54,0.0812
55,0.0791
56,0.0805
57,0.0815
58,0.0827
59,0.0822
60,0.0786
61,0.079
62,0.0801
63,0.0823
64,0.0796
65,0.0749
66,0.0764
67,0.1125
68,0.1166
69,0.1094
70,0.1181
71,0.1177
72,0.1114
73,0.1125
74,0.1148
75,0.1164
76,0.1148
77,0.1142
78,0.1174
79,0.1113
80,0.1099
81,0.1114
82,0.1158
83,0.1125
84,0.1158
85,0.1086
86,0.1134
87,0.1183
88,0.1155
89,0.1158
90,0.1142
91,0.1173
92,0.1124
93,0.1101
94,0.1092
95,0.1072
96,0.115
97,0.1098
98,0.1136
99,0.114
