,power
0,0.1059
1,0.1231
2,0.1197
3,0.122
4,0.1423
5,0.1096
6,0.1222
7,0.1313
8,0.1183
9,0.1311
10,0.1345
11,0.1101
12,0.1212
13,0.1026
14,0.1109
15,0.115
16,0.1128
17,0.1359
18,0.1316
19,0.1125
20,0.1202
21,0.1887
22,0.1226
23,0.1492
24,0.1268
25,0.1361
26,0.1092
27,0.1264
28,0.1139
29,0.102
30,0.1132
31,0.1362
32,0.1165
33,0.1283
34,0.1175
35,0.1237
36,0.1055
37,0.1363
38,0.1198
39,0.1393
40,0.1135
41,0.1175
42,0.1397
43,0.1306
44,0.1322
45,0.1371
46,0.1155
47,0.1335
48,0.127
49,0.1217
50,0.1354
51,0.1305
52,0.1168
53,0.1503
54,0.1242
55,0.1203
56,0.123
57,0.114
58,0.1098
59,0.1198
60,0.1291
61,0.1142
62,0.1527
63,0.1297
64,0.1233
65,0.1171
66,0.1374
67,0.125
68,0.112
69,0.1158
70,0.1161
71,0.1427
72,0.1014
73,0.1129
74,0.1096
75,0.1129
76,0.1202
77,0.1329
78,0.1336
79,0.1129
80,0.1224
81,0.122
82,0.1164
83,0.1124
84,0.1238
85,0.1233
86,0.1417
87,0.1225
88,0.1241
89,0.1064
90,0.1271
91,0.128
92,0.1196
93,0.122
94,0.1236
95,0.138
96,0.1092
97,0.113
98,0.124
99,0.1457
