,power
0,0.0279
1,0.0265
2,0.0277
3,0.0281
4,0.0282
5,0.0278
6,0.0244
7,0.0273
8,0.0268
9,0.0259
10,0.0284
11,0.0254
12,0.0264
13,0.0266
14,0.0268
15,0.0263
16,0.0263
17,0.0265
18,0.0287
19,0.028
20,0.0534
21,0.0541
22,0.0533
23,0.0535
24,0.0524
25,0.0524
26,0.0514
27,0.0547
28,0.0523
29,0.0554
30,0.0569
31,0.053
32,0.0507
33,0.054
34,0.0556
35,0.0506
36,0.0561
37,0.0502
38,0.0506
39,0.0528
40,0.0762
41,0.0755
42,0.079
43,0.0766
44,0.0748
45,0.0772
46,0.08
47,0.0758
48,0.0764
49,0.0766
50,0.0772
51,0.0774
52,0.0716
53,0.0728
54,0.0805
55,0.0783
56,0.0782
57,0.0754
58,0.081
59,0.0765
60,0.0974
61,0.0977
62,0.1009
63,0.1045
64,0.1012
65,0.0947
66,0.1031
67,0.1
68,0.0962
69,0.0964
70,0.0957
71,0.0989
72,0.0994
73,0.0982
74,0.0997
75,0.1009
76,0.0953
77,0.1011
78,0.0998
79,0.1029
80,0.1148
81,0.117
82,0.1127
83,0.1204
84,0.1178
85,0.1168
86,0.1204
87,0.117
88,0.1205
89,0.1205
90,0.1202
91,0.1146
92,0.1216
93,0.1166
94,0.116
95,0.1116
96,0.1149
97,0.117
98,0.1193
99,0.1138
