,power
0,0.031
1,0.0341
2,0.0315
3,0.0314
4,0.0302
5,0.0308
6,0.033
7,0.0328
8,0.0315
9,0.0317
10,0.0319
11,0.0325
12,0.0314
13,0.0323
14,0.0321
15,0.0332
16,0.0326
17,0.0312
18,0.0337
19,0.0317
20,0.0321
21,0.0344
22,0.0328
23,0.0331
24,0.0309
25,0.0622
26,0.0626
27,0.0635
28,0.0661
29,0.0579
30,0.0647
31,0.0644
32,0.0596
33,0.0607
34,0.0591
35,0.0607
36,0.0624
37,0.0652
38,0.0585
39,0.0601
40,0.0627
41,0.0611
42,0.0589
43,0.0613
44,0.0604
45,0.0596
46,0.0579
47,0.0633
48,0.0619
49,0.0592
50,0.087
51,0.0961
52,0.0939
53,0.09
54,0.0878
55,0.0869
56,0.0909
57,0.093
58,0.0914
59,0.0877
60,0.0901
61,0.0934
62,0.0878
63,0.0948
64,0.0884
65,0.0841
66,0.0851
67,0.0903
68,0.094
69,0.0905
70,0.0927
71,0.0922
72,0.0876
73,0.0907
74,0.0878
75,0.1149
76,0.1155
77,0.1147
78,0.119
79,0.1166
80,0.1176
81,0.1066
82,0.1181
83,0.1153
84,0.1132
85,0.1106
86,0.1117
87,0.1196
88,0.1107
89,0.1156
90,0.1187
91,0.11
92,0.1163
93,0.1172
94,0.1171
95,0.1124
96,0.1138
97,0.1119
98,0.1136
99,0.1128
