,power
0,0.0575
1,0.1895
2,0.1418
3,0.187
4,0.1615
5,0.0726
6,0.1023
7,0.1424
8,0.1605
9,0.144
10,0.1521
11,0.1413
12,0.1523
13,0.1006
14,0.0994
15,0.0734
16,0.17
17,0.085
18,0.1618
19,0.0624
20,0.1416
21,0.0825
22,0.1458
23,0.1671
24,0.1381
25,0.0825
26,0.1901
27,0.1342
28,0.1333
29,0.1449
30,0.1608
31,0.0957
32,0.0667
33,0.1552
34,0.0963
35,0.1355
36,0.0831
37,0.0954
38,0.1153
39,0.1845
40,0.0954
41,0.1548
42,0.1474
43,0.1271
44,0.1717
45,0.1737
46,0.1597
47,0.1619
48,0.0594
49,0.1381
50,0.0855
51,0.1222
52,0.0549
53,0.1524
54,0.0755
55,0.1902
56,0.124
57,0.0995
58,0.1279
59,0.1525
60,0.1216
61,0.2005
62,0.1358
63,0.1293
64,0.2139
65,0.1548
66,0.0896
67,0.1455
68,0.1422
69,0.1027
70,0.0941
71,0.0524
72,0.1109
73,0.1003
74,0.1659
75,0.1917
76,0.1063
77,0.1352
78,0.1101
79,0.1567
80,0.1334
81,0.148
82,0.1245
83,0.1269
84,0.0862
85,0.146
86,0.1148
87,0.1178
88,0.1578
89,0.1608
90,0.0956
91,0.1244
92,0.0979
93,0.0908
94,0.0726
95,0.105
96,0.1555
97,0.1259
98,0.0955
99,0.1286
