,power
0,0.2822
1,0.2721
2,0.2645
3,0.2613
4,0.265
5,0.3033
6,0.2855
7,0.3053
8,0.3003
9,0.294
10,0.2728
11,0.253
12,0.2784
13,0.2681
14,0.2988
15,0.2639
16,0.2996
17,0.2855
18,0.2932
19,0.3023
20,0.3149
21,0.2929
22,0.2972
23,0.2882
24,0.2765
25,0.2694
26,0.3127
27,0.2681
28,0.2891
29,0.2997
30,0.2963
31,0.284
32,0.2771
33,0.2934
34,0.2558
35,0.2939
36,0.2786
37,0.3134
38,0.2539
39,0.291
40,0.2804
41,0.2883
42,0.3164
43,0.2579
44,0.3083
45,0.2842
46,0.251
47,0.2626
48,0.2766
49,0.3053
50,0.2681
51,0.2727
52,0.2786
53,0.2724
54,0.3092
55,0.2851
56,0.2898
57,0.2856
58,0.303
59,0.2754
60,0.2762
61,0.2833
62,0.2906
63,0.296
64,0.3037
65,0.2719
66,0.2773
67,0.2862
68,0.2875
69,0.3128
70,0.2827
71,0.2611
72,0.3067
73,0.2874
74,0.2929
75,0.2643
76,0.3082
77,0.2756
78,0.3348
79,0.2974
80,0.2709
81,0.2735
82,0.296
83,0.2879
84,0.2809
85,0.256
86,0.2777
87,0.3186
88,0.2292
89,0.3076
90,0.2864
91,0.2844
92,0.2862
93,0.2643
94,0.2654
95,0.266
96,0.2954
97,0.3088
98,0.289
99,0.289
