,power
0,0.1141
1,0.1749
2,0.1425
3,0.1411
4,0.0981
5,0.1013
6,0.0941
7,0.1075
8,0.0589
9,0.1621
10,0.1542
11,0.1634
12,0.1304
13,0.175
14,0.2042
15,0.1873
16,0.1523
17,0.171
18,0.0847
19,0.0914
20,0.1294
21,0.1515
22,0.1541
23,0.0542
24,0.108
25,0.102
26,0.0643
27,0.0611
28,0.2061
29,0.0766
30,0.1501
31,0.1006
32,0.0715
33,0.1297
34,0.1102
35,0.0618
36,0.1003
37,0.1537
38,0.066
39,0.1889
40,0.0528
41,0.1514
42,0.0669
43,0.1362
44,0.1622
45,0.1021
46,0.1085
47,0.1658
48,0.0976
49,0.2228
50,0.151
51,0.1364
52,0.075
53,0.0512
54,0.0842
55,0.1484
56,0.0888
57,0.067
58,0.1107
59,0.0567
60,0.148
61,0.1174
62,0.0423
63,0.1304
64,0.102
65,0.0972
66,0.0679
67,0.1396
68,0.0516
69,0.1131
70,0.0706
71,0.1428
72,0.1113
73,0.0713
74,0.0672
75,0.0583
76,0.1642
77,0.0441
78,0.1694
79,0.0594
80,0.1396
81,0.1167
82,0.124
83,0.1921
84,0.1668
85,0.1278
86,0.0971
87,0.0909
88,0.0696
89,0.0908
90,0.135
91,0.116
92,0.1318
93,0.037
94,0.1963
95,0.1183
96,0.1673
97,0.1877
98,0.0632
99,0.1746
