,power
0,0.0706
1,0.1148
2,0.0728
3,0.0738
4,0.1092
5,0.0874
6,0.1006
7,0.114
8,0.1438
9,0.1676
10,0.1396
11,0.1078
12,0.095
13,0.1114
14,0.136
15,0.1356
16,0.1414
17,0.1112
18,0.0736
19,0.1056
20,0.1248
21,0.1356
22,0.1144
23,0.1496
24,0.0972
25,0.1056
26,0.1104
27,0.1256
28,0.0832
29,0.1512
30,0.1508
31,0.0944
32,0.1318
33,0.0898
34,0.117
35,0.0932
36,0.0744
37,0.0704
38,0.121
39,0.111
40,0.141
41,0.1212
42,0.0774
43,0.0962
44,0.0796
45,0.1244
46,0.11
47,0.1202
48,0.11
49,0.0876
50,0.1294
51,0.079
52,0.1044
53,0.0668
54,0.1232
55,0.1036
56,0.1522
57,0.1644
58,0.1016
59,0.1388
60,0.1512
61,0.1142
62,0.1628
63,0.1508
64,0.1048
65,0.1224
66,0.0754
67,0.0808
68,0.1026
69,0.122
70,0.1152
71,0.1746
72,0.1126
73,0.0992
74,0.1146
75,0.0646
76,0.1268
77,0.107
78,0.052
79,0.1344
80,0.1078
81,0.098
82,0.1822
83,0.0868
84,0.1046
85,0.1434
86,0.1154
87,0.1258
88,0.109
89,0.0862
90,0.081
91,0.0998
92,0.148
93,0.1796
94,0.1178
95,0.1382
96,0.0972
97,0.1232
98,0.1246
99,0.0804
