,power
0,0.1416
1,0.0682
2,0.1032
3,0.1528
4,0.068
5,0.0852
6,0.1814
7,0.1514
8,0.1092
9,0.1232
10,0.0862
11,0.1108
12,0.1176
13,0.1234
14,0.1208
15,0.0858
16,0.0888
17,0.106
18,0.0498
19,0.0348
20,0.115
21,0.1176
22,0.1334
23,0.1202
24,0.1118
25,0.1716
26,0.146
27,0.1406
28,0.152
29,0.0354
30,0.1458
31,0.1506
32,0.1086
33,0.0772
34,0.1238
35,0.1504
36,0.0872
37,0.1718
38,0.1112
39,0.1388
40,0.17
41,0.0376
42,0.039
43,0.1448
44,0.0558
45,0.1468
46,0.062
47,0.1052
48,0.0614
49,0.1912
50,0.193
51,0.2002
52,0.1092
53,0.1304
54,0.0414
55,0.1422
56,0.1134
57,0.0502
58,0.1322
59,0.1878
60,0.0644
61,0.0282
62,0.1434
63,0.1916
64,0.1226
65,0.1426
66,0.1182
67,0.216
68,0.2426
69,0.1948
70,0.1576
71,0.1556
72,0.1388
73,0.051
74,0.1682
75,0.2056
76,0.1568
77,0.2044
78,0.142
79,0.1544
80,0.0388
81,0.1736
82,0.1522
83,0.1546
84,0.1196
85,0.1404
86,0.0704
87,0.2394
88,0.0758
89,0.0682
90,0.0394
91,0.0408
92,0.1408
93,0.0976
94,0.1476
95,0.1386
96,0.0536
97,0.0492
98,0.1502
99,0.039
