,power
0,0.0746
1,0.0796
2,0.0954
3,0.1268
4,0.1214
5,0.1048
6,0.0856
7,0.1516
8,0.1718
9,0.106
10,0.1834
11,0.1006
12,0.0632
13,0.1414
14,0.0858
15,0.0934
16,0.1582
17,0.1168
18,0.1272
19,0.092
20,0.1482
21,0.11
22,0.0804
23,0.117
24,0.1218
25,0.1234
26,0.1568
27,0.1196
28,0.1728
29,0.0974
30,0.1518
31,0.1156
32,0.1366
33,0.099
34,0.0904
35,0.1366
36,0.0904
37,0.0882
38,0.1246
39,0.141
40,0.1314
41,0.0688
42,0.1462
43,0.144
44,0.1872
45,0.1486
46,0.0848
47,0.1102
48,0.087
49,0.1314
50,0.104
51,0.067
52,0.1464
53,0.0956
54,0.103
55,0.0944
56,0.1038
57,0.0912
58,0.0968
59,0.0982
60,0.1268
61,0.1118
62,0.077
63,0.0764
64,0.0764
65,0.0912
66,0.1152
67,0.1126
68,0.1084
69,0.0914
70,0.0936
71,0.0918
72,0.141
73,0.0888
74,0.1196
75,0.0684
76,0.1222
77,0.1186
78,0.1332
79,0.1288
80,0.1072
81,0.1264
82,0.1862
83,0.1302
84,0.0648
85,0.1208
86,0.112
87,0.0756
88,0.1566
89,0.1216
90,0.1006
91,0.1186
92,0.1306
93,0.107
94,0.1028
95,0.1228
96,0.1006
97,0.0658
98,0.1406
99,0.1248
