,power
0,0.1034
1,0.1066
2,0.0842
3,0.1186
4,0.1022
5,0.083
6,0.1362
7,0.1578
8,0.1262
9,0.0946
10,0.1554
11,0.1136
12,0.1268
13,0.131
14,0.1384
15,0.0636
16,0.0884
17,0.0948
18,0.1148
19,0.1318
20,0.0742
21,0.1606
22,0.161
23,0.1254
24,0.1476
25,0.1338
26,0.1332
27,0.1174
28,0.1086
29,0.0998
30,0.1258
31,0.115
32,0.0804
33,0.1068
34,0.1056
35,0.1254
36,0.1458
37,0.1204
38,0.1264
39,0.1512
40,0.1278
41,0.112
42,0.1036
43,0.1768
44,0.1148
45,0.0946
46,0.1578
47,0.1168
48,0.1136
49,0.0672
50,0.1082
51,0.0886
52,0.1294
53,0.1318
54,0.122
55,0.1214
56,0.1084
57,0.1028
58,0.1674
59,0.1342
60,0.0964
61,0.1378
62,0.1312
63,0.1448
64,0.1104
65,0.1102
66,0.1226
67,0.0802
68,0.121
69,0.0936
70,0.1162
71,0.13
72,0.1104
73,0.1554
74,0.106
75,0.1244
76,0.1662
77,0.1248
78,0.1232
79,0.1276
80,0.1208
81,0.1388
82,0.1356
83,0.108
84,0.1058
85,0.0982
86,0.1298
87,0.1424
88,0.1358
89,0.1174
90,0.073
91,0.1318
92,0.1226
93,0.0938
94,0.0862
95,0.1044
96,0.0976
97,0.0874
98,0.0946
99,0.1016
