,power
0,0.2152
1,0.0804
2,0.1442
3,0.151
4,0.1938
5,0.1986
6,0.1214
7,0.0934
8,0.129
9,0.0926
10,0.1686
11,0.0762
12,0.1176
13,0.1312
14,0.1644
15,0.1432
16,0.0958
17,0.0954
18,0.1664
19,0.0984
20,0.1472
21,0.1128
22,0.1384
23,0.132
24,0.0752
25,0.1366
26,0.1032
27,0.0844
28,0.117
29,0.1602
30,0.1628
31,0.0742
32,0.1334
33,0.1988
34,0.1312
35,0.155
36,0.1342
37,0.0894
38,0.1374
39,0.1322
40,0.1656
41,0.1296
42,0.1658
43,0.1096
44,0.1454
45,0.1144
46,0.115
47,0.1218
48,0.0864
49,0.1072
50,0.104
51,0.1658
52,0.1062
53,0.1192
54,0.1226
55,0.1672
56,0.1144
57,0.1488
58,0.11
59,0.1308
60,0.0998
61,0.1546
62,0.1426
63,0.1508
64,0.1254
65,0.128
66,0.1344
67,0.0982
68,0.1274
69,0.1284
70,0.0778
71,0.1662
72,0.1564
73,0.1164
74,0.1584
75,0.1564
76,0.0978
77,0.1546
78,0.0922
79,0.0666
80,0.1098
81,0.1458
82,0.189
83,0.115
84,0.1188
85,0.1408
86,0.0518
87,0.0828
88,0.0706
89,0.1122
90,0.077
91,0.1718
92,0.1376
93,0.1376
94,0.099
95,0.1532
96,0.1324
97,0.1178
98,0.111
99,0.0988
