,power
0,0.1258
1,0.118
2,0.141
3,0.1294
4,0.1374
5,0.1318
6,0.15
7,0.1176
8,0.1254
9,0.1196
10,0.1144
11,0.1318
12,0.1254
13,0.1314
14,0.1194
15,0.1478
16,0.113
17,0.1184
18,0.1422
19,0.117
20,0.1164
21,0.139
22,0.1298
23,0.128
24,0.1254
25,0.1106
26,0.1144
27,0.1294
28,0.1282
29,0.1402
30,0.1178
31,0.1218
32,0.1362
33,0.1544
34,0.1282
35,0.1296
36,0.1276
37,0.119
38,0.1504
39,0.1342
40,0.1242
41,0.1328
42,0.1316
43,0.1222
44,0.1348
45,0.1232
46,0.1308
47,0.1428
48,0.142
49,0.1226
50,0.1194
51,0.1198
52,0.1194
53,0.1196
54,0.1282
55,0.1234
56,0.1494
57,0.1382
58,0.1292
59,0.1452
60,0.1326
61,0.1246
62,0.122
63,0.1332
64,0.1268
65,0.1152
66,0.0964
67,0.1168
68,0.1294
69,0.1364
70,0.1358
71,0.1288
72,0.138
73,0.1252
74,0.1466
75,0.1198
76,0.1316
77,0.1342
78,0.1378
79,0.1278
80,0.1456
81,0.1438
82,0.1348
83,0.137
84,0.1282
85,0.113
86,0.1098
87,0.1228
88,0.1022
89,0.1298
90,0.1308
91,0.1384
92,0.1324
93,0.1536
94,0.1366
95,0.108
96,0.1302
97,0.1474
98,0.1058
99,0.1072
