,power
0,0.1234
1,0.1306
2,0.0962
3,0.1868
4,0.1656
5,0.1568
6,0.1208
7,0.161
8,0.0952
9,0.1454
10,0.1132
11,0.085
12,0.089
13,0.1256
14,0.0854
15,0.195
16,0.1474
17,0.186
18,0.1368
19,0.16
20,0.1436
21,0.0632
22,0.1398
23,0.113
24,0.124
25,0.1308
26,0.1392
27,0.1588
28,0.1176
29,0.118
30,0.1126
31,0.125
32,0.0768
33,0.1486
34,0.1556
35,0.1442
36,0.148
37,0.1194
38,0.104
39,0.1294
40,0.1214
41,0.0606
42,0.147
43,0.1542
44,0.1316
45,0.1388
46,0.1482
47,0.1082
48,0.0804
49,0.0938
50,0.164
51,0.1186
52,0.1296
53,0.1126
54,0.1466
55,0.1758
56,0.122
57,0.1478
58,0.1258
59,0.1256
60,0.1392
61,0.0942
62,0.059
63,0.0716
64,0.1228
65,0.1664
66,0.1258
67,0.1926
68,0.0554
69,0.1302
70,0.2008
71,0.1934
72,0.1806
73,0.078
74,0.0942
75,0.1122
76,0.0834
77,0.1026
78,0.1616
79,0.0986
80,0.0962
81,0.1716
82,0.1476
83,0.158
84,0.082
85,0.1014
86,0.1172
87,0.1242
88,0.1408
89,0.1744
90,0.102
91,0.0902
92,0.137
93,0.1016
94,0.0818
95,0.1418
96,0.1086
97,0.175
98,0.1136
99,0.1018
