,power
0,0.0192
1,0.0198
2,0.0185
3,0.0212
4,0.0183
5,0.0168
6,0.0199
7,0.0202
8,0.0195
9,0.0194
10,0.0366
11,0.0371
12,0.0367
13,0.0352
14,0.0383
15,0.0354
16,0.0371
17,0.0364
18,0.0355
19,0.0341
20,0.0506
21,0.0516
22,0.0486
23,0.0524
24,0.0528
25,0.0489
26,0.0498
27,0.0509
28,0.05
29,0.0535
30,0.0635
31,0.0638
32,0.0664
33,0.0624
34,0.065
35,0.06
36,0.0638
37,0.065
38,0.0629
39,0.0704
40,0.0742
41,0.0686
42,0.0762
43,0.0738
44,0.0797
45,0.0792
46,0.0769
47,0.0749
48,0.0795
49,0.0765
50,0.0908
51,0.0888
52,0.0912
53,0.092
54,0.0887
55,0.0843
56,0.0854
57,0.0864
58,0.0868
59,0.0876
60,0.0969
61,0.0974
62,0.0953
63,0.0968
64,0.0941
65,0.0938
66,0.0968
67,0.0964
68,0.0938
69,0.0977
70,0.1042
71,0.1059
72,0.1023
73,0.1005
74,0.1011
75,0.1054
76,0.1014
77,0.1104
78,0.1042
79,0.1017
80,0.107
81,0.1083
82,0.1063
83,0.109
84,0.108
85,0.1108
86,0.1093
87,0.1083
88,0.1094
89,0.1049
90,0.1076
91,0.1111
92,0.1096
93,0.1097
94,0.1077
95,0.1133
96,0.1091
97,0.1119
98,0.1066
99,0.1111
