,power
0,0.1436
1,0.1214
2,0.1466
3,0.1258
4,0.1036
5,0.1346
6,0.141
7,0.1264
8,0.1476
9,0.1232
10,0.1184
11,0.1272
12,0.114
13,0.1126
14,0.1098
15,0.1226
16,0.1364
17,0.1278
18,0.1338
19,0.104
20,0.127
21,0.1258
22,0.121
23,0.1028
24,0.1224
25,0.1208
26,0.1264
27,0.1372
28,0.1256
29,0.1406
30,0.124
31,0.1076
32,0.1336
33,0.1226
34,0.1166
35,0.1232
36,0.142
37,0.1248
38,0.12
39,0.1266
40,0.1358
41,0.1192
42,0.1136
43,0.1058
44,0.1336
45,0.119
46,0.1496
47,0.1266
48,0.1242
49,0.1264
50,0.108
51,0.1164
52,0.1324
53,0.149
54,0.0872
55,0.1172
56,0.1344
57,0.114
58,0.116
59,0.144
60,0.15
61,0.1318
62,0.1396
63,0.1246
64,0.1348
65,0.1294
66,0.149
67,0.1234
68,0.1356
69,0.1194
70,0.115
71,0.1134
72,0.112
73,0.1192
74,0.1308
75,0.1266
76,0.1304
77,0.1262
78,0.1342
79,0.1094
80,0.1586
81,0.1318
82,0.1006
83,0.1486
84,0.1128
85,0.1144
86,0.1036
87,0.1304
88,0.1398
89,0.1344
90,0.1298
91,0.136
92,0.1344
93,0.1086
94,0.1202
95,0.137
96,0.1258
97,0.1272
98,0.1334
99,0.118
