,power
0,0.0952
1,0.1744
2,0.1432
3,0.1208
4,0.1786
5,0.1462
6,0.1258
7,0.135
8,0.0826
9,0.0966
10,0.099
11,0.122
12,0.1554
13,0.0998
14,0.1148
15,0.0948
16,0.1002
17,0.125
18,0.0988
19,0.1362
20,0.0688
21,0.1298
22,0.09
23,0.1038
24,0.0726
25,0.097
26,0.117
27,0.1136
28,0.153
29,0.149
30,0.1738
31,0.121
32,0.105
33,0.111
34,0.0916
35,0.1632
36,0.1152
37,0.1534
38,0.116
39,0.1184
40,0.0912
41,0.1006
42,0.1148
43,0.0904
44,0.1116
45,0.1164
46,0.077
47,0.1326
48,0.094
49,0.0726
50,0.1192
51,0.0872
52,0.0862
53,0.0858
54,0.1306
55,0.1422
56,0.1602
57,0.117
58,0.1038
59,0.19
60,0.1148
61,0.1494
62,0.1024
63,0.1048
64,0.1348
65,0.0738
66,0.08
67,0.0946
68,0.1206
69,0.1266
70,0.1522
71,0.1026
72,0.105
73,0.1532
74,0.1912
75,0.1232
76,0.1382
77,0.118
78,0.0894
79,0.1026
80,0.1236
81,0.1574
82,0.1104
83,0.125
84,0.136
85,0.099
86,0.1142
87,0.1268
88,0.0934
89,0.106
90,0.135
91,0.0958
92,0.1298
93,0.0948
94,0.1132
95,0.135
96,0.1304
97,0.15
98,0.1436
99,0.1034
