,power
0,0.1782
1,0.1088
2,0.0652
3,0.2194
4,0.1524
5,0.1762
6,0.1708
7,0.038
8,0.1572
9,0.0882
10,0.166
11,0.2022
12,0.092
13,0.07
14,0.1318
15,0.1404
16,0.169
17,0.066
18,0.1072
19,0.1012
20,0.047
21,0.1598
22,0.1662
23,0.1958
24,0.1114
25,0.1914
26,0.152
27,0.097
28,0.084
29,0.0366
30,0.1252
31,0.1894
32,0.0472
33,0.0942
34,0.0916
35,0.1242
36,0.0528
37,0.0512
38,0.061
39,0.0898
40,0.087
41,0.1984
42,0.213
43,0.0468
44,0.205
45,0.055
46,0.0438
47,0.1946
48,0.1168
49,0.0894
50,0.131
51,0.1892
52,0.073
53,0.134
54,0.1592
55,0.2404
56,0.178
57,0.0556
58,0.175
59,0.1196
60,0.117
61,0.149
62,0.1878
63,0.047
64,0.22
65,0.106
66,0.2402
67,0.2422
68,0.2132
69,0.2516
70,0.0426
71,0.0912
72,0.0748
73,0.1796
74,0.118
75,0.1664
76,0.1744
77,0.0852
78,0.2316
79,0.172
80,0.1454
81,0.0706
82,0.1444
83,0.0962
84,0.222
85,0.0436
86,0.0736
87,0.1122
88,0.1284
89,0.0764
90,0.082
91,0.0918
92,0.0516
93,0.044
94,0.0938
95,0.1108
96,0.0888
97,0.1156
98,0.0608
99,0.1506
