,power
0,0.1932
1,0.1448
2,0.1572
3,0.2174
4,0.292
5,0.216
6,0.2722
7,0.216
8,0.2304
9,0.1786
10,0.237
11,0.0824
12,0.1914
13,0.1428
14,0.1232
15,0.1476
16,0.1738
17,0.2332
18,0.1076
19,0.1684
20,0.1496
21,0.107
22,0.1238
23,0.0948
24,0.0942
25,0.1318
26,0.1126
27,0.0884
28,0.0832
29,0.1012
30,0.0898
31,0.0886
32,0.0826
33,0.0936
34,0.0832
35,0.1018
36,0.0816
37,0.0668
38,0.0966
39,0.0688
40,0.1324
41,0.0782
42,0.085
43,0.1036
44,0.097
45,0.072
46,0.083
47,0.073
48,0.0754
49,0.0846
50,0.084
51,0.0892
52,0.0712
53,0.0722
54,0.0676
55,0.1052
56,0.089
57,0.0794
58,0.0884
59,0.0692
60,0.1002
61,0.0724
62,0.066
63,0.0836
64,0.0742
65,0.062
66,0.075
67,0.0982
68,0.0764
69,0.07
70,0.0806
71,0.0626
72,0.0634
73,0.0694
74,0.0634
75,0.0666
76,0.0664
77,0.068
78,0.0976
79,0.067
80,0.0824
81,0.0644
82,0.066
83,0.076
84,0.0646
85,0.0698
86,0.0634
87,0.0668
88,0.0662
89,0.0682
90,0.0636
91,0.0716
92,0.0864
93,0.0636
94,0.07
95,0.0678
96,0.0706
97,0.0632
98,0.068
99,0.0682
