,power
0,0.1368
1,0.2208
2,0.0876
3,0.1698
4,0.1602
5,0.1462
6,0.057
7,0.146
8,0.112
9,0.0982
10,0.1318
11,0.1342
12,0.161
13,0.1224
14,0.0852
15,0.1244
16,0.1622
17,0.1256
18,0.117
19,0.0764
20,0.0674
21,0.087
22,0.074
23,0.133
24,0.167
25,0.1148
26,0.1222
27,0.1802
28,0.1164
29,0.1244
30,0.1136
31,0.126
32,0.1294
33,0.0754
34,0.1246
35,0.0756
36,0.098
37,0.1408
38,0.1112
39,0.1088
40,0.2212
41,0.1744
42,0.1326
43,0.0974
44,0.1908
45,0.2062
46,0.137
47,0.1846
48,0.129
49,0.1006
50,0.1174
51,0.103
52,0.1822
53,0.1184
54,0.091
55,0.1002
56,0.0962
57,0.137
58,0.1062
59,0.0992
60,0.0648
61,0.116
62,0.145
63,0.1888
64,0.098
65,0.1282
66,0.1202
67,0.1754
68,0.0824
69,0.1278
70,0.0792
71,0.1862
72,0.2072
73,0.1422
74,0.0926
75,0.1006
76,0.1394
77,0.2168
78,0.1818
79,0.131
80,0.1452
81,0.0726
82,0.0842
83,0.12
84,0.119
85,0.0966
86,0.147
87,0.1564
88,0.0796
89,0.1476
90,0.1856
91,0.1246
92,0.1344
93,0.185
94,0.0946
95,0.1332
96,0.0974
97,0.109
98,0.1106
99,0.2074
