,power
0,0.1404
1,0.2072
2,0.1618
3,0.158
4,0.4124
5,0.295
6,0.1868
7,0.2418
8,0.0964
9,0.1418
10,0.1586
11,0.1966
12,0.1762
13,0.1886
14,0.1122
15,0.1722
16,0.1406
17,0.099
18,0.221
19,0.0886
20,0.0828
21,0.1076
22,0.0792
23,0.13
24,0.0884
25,0.101
26,0.0748
27,0.123
28,0.1036
29,0.2284
30,0.077
31,0.1188
32,0.105
33,0.0758
34,0.0838
35,0.1006
36,0.0998
37,0.1504
38,0.0922
39,0.072
40,0.0742
41,0.1402
42,0.093
43,0.0966
44,0.0746
45,0.0964
46,0.0994
47,0.0924
48,0.118
49,0.0748
50,0.078
51,0.077
52,0.0744
53,0.066
54,0.0638
55,0.0656
56,0.089
57,0.0804
58,0.0786
59,0.0906
60,0.0882
61,0.0846
62,0.0792
63,0.0852
64,0.0682
65,0.0702
66,0.0794
67,0.0644
68,0.0812
69,0.0712
70,0.0798
71,0.0744
72,0.0664
73,0.0792
74,0.073
75,0.0808
76,0.0852
77,0.0686
78,0.0656
79,0.0826
80,0.0674
81,0.0684
82,0.0654
83,0.067
84,0.0662
85,0.0688
86,0.0644
87,0.0764
88,0.066
89,0.067
90,0.0642
91,0.0632
92,0.0658
93,0.0658
94,0.0658
95,0.0646
96,0.065
97,0.0638
98,0.0644
99,0.0686
