,power
0,0.1408
1,0.1138
2,0.1184
3,0.1308
4,0.1196
5,0.1188
6,0.1162
7,0.1262
8,0.1662
9,0.124
10,0.1326
11,0.1168
12,0.124
13,0.1386
14,0.1064
15,0.1214
16,0.1142
17,0.1204
18,0.1082
19,0.1074
20,0.1396
21,0.1234
22,0.1228
23,0.1024
24,0.1144
25,0.1316
26,0.1212
27,0.1072
28,0.1438
29,0.114
30,0.1034
31,0.1408
32,0.1338
33,0.1312
34,0.1296
35,0.1286
36,0.115
37,0.1212
38,0.0922
39,0.1168
40,0.1126
41,0.1174
42,0.1208
43,0.143
44,0.1098
45,0.1346
46,0.106
47,0.1224
48,0.1204
49,0.1162
50,0.1116
51,0.1274
52,0.1546
53,0.121
54,0.1272
55,0.1136
56,0.1052
57,0.13
58,0.1024
59,0.1206
60,0.121
61,0.1272
62,0.1104
63,0.1412
64,0.1258
65,0.1112
66,0.1574
67,0.1188
68,0.0994
69,0.1212
70,0.1446
71,0.1168
72,0.111
73,0.1204
74,0.1324
75,0.1196
76,0.1166
77,0.1266
78,0.1074
79,0.1286
80,0.133
81,0.1156
82,0.111
83,0.1438
84,0.1394
85,0.1142
86,0.1258
87,0.1382
88,0.1226
89,0.135
90,0.1262
91,0.123
92,0.1176
93,0.126
94,0.1108
95,0.1064
96,0.1348
97,0.119
98,0.1208
99,0.1186
