,power
0,0.0195
1,0.0198
2,0.0196
3,0.02
4,0.0197
5,0.0207
6,0.0191
7,0.0195
8,0.018
9,0.0199
10,0.0364
11,0.0365
12,0.0379
13,0.0371
14,0.0378
15,0.0404
16,0.0382
17,0.0361
18,0.0393
19,0.0357
20,0.0514
21,0.0527
22,0.0543
23,0.0528
24,0.0534
25,0.0528
26,0.0509
27,0.0521
28,0.0535
29,0.0508
30,0.0618
31,0.0701
32,0.067
33,0.0638
34,0.0637
35,0.067
36,0.065
37,0.0628
38,0.0657
39,0.0669
40,0.0796
41,0.0734
42,0.0784
43,0.0743
44,0.0761
45,0.0799
46,0.0773
47,0.0768
48,0.0789
49,0.0754
50,0.0843
51,0.0886
52,0.0859
53,0.0868
54,0.0878
55,0.0899
56,0.0897
57,0.0868
58,0.0892
59,0.0876
60,0.0946
61,0.0927
62,0.0945
63,0.0963
64,0.1004
65,0.0999
66,0.1003
67,0.0962
68,0.0988
69,0.0946
70,0.106
71,0.1033
72,0.0995
73,0.1096
74,0.1054
75,0.1084
76,0.0995
77,0.108
78,0.0999
79,0.0971
80,0.112
81,0.1066
82,0.1029
83,0.1117
84,0.1081
85,0.108
86,0.1138
87,0.1146
88,0.1107
89,0.1058
90,0.1151
91,0.11
92,0.1102
93,0.11
94,0.1104
95,0.1135
96,0.1124
97,0.1115
98,0.1086
99,0.1174
