,power
0,0.0688
1,0.1544
2,0.0454
3,0.0602
4,0.0604
5,0.0324
6,0.1828
7,0.1092
8,0.1118
9,0.0334
10,0.1232
11,0.1102
12,0.111
13,0.258
14,0.1862
15,0.1108
16,0.108
17,0.2372
18,0.158
19,0.0694
20,0.1488
21,0.199
22,0.0346
23,0.123
24,0.1498
25,0.072
26,0.2224
27,0.096
28,0.104
29,0.1822
30,0.0638
31,0.149
32,0.058
33,0.0562
34,0.1236
35,0.0902
36,0.1088
37,0.0552
38,0.0858
39,0.1484
40,0.1338
41,0.1386
42,0.1542
43,0.0412
44,0.0652
45,0.1216
46,0.1026
47,0.164
48,0.126
49,0.1206
50,0.1512
51,0.0798
52,0.0952
53,0.1648
54,0.1046
55,0.1288
56,0.089
57,0.1314
58,0.1144
59,0.1976
60,0.14
61,0.0682
62,0.0928
63,0.1704
64,0.1716
65,0.1188
66,0.1122
67,0.0898
68,0.142
69,0.184
70,0.1378
71,0.132
72,0.1634
73,0.0458
74,0.0954
75,0.1358
76,0.088
77,0.129
78,0.227
79,0.0942
80,0.1438
81,0.1044
82,0.1368
83,0.2056
84,0.0468
85,0.1464
86,0.0798
87,0.1046
88,0.1224
89,0.1408
90,0.0678
91,0.0398
92,0.151
93,0.1038
94,0.1584
95,0.2034
96,0.1196
97,0.1028
98,0.0698
99,0.1384
