,power
0,0.0172
1,0.0198
2,0.0197
3,0.0202
4,0.0179
5,0.0174
6,0.0182
7,0.0191
8,0.021
9,0.0205
10,0.0362
11,0.0363
12,0.0382
13,0.0351
14,0.0381
15,0.0368
16,0.0386
17,0.0364
18,0.0367
19,0.0388
20,0.0521
21,0.0494
22,0.0514
23,0.0521
24,0.0521
25,0.0504
26,0.0524
27,0.0515
28,0.0538
29,0.0503
30,0.0687
31,0.0646
32,0.0658
33,0.0688
34,0.0647
35,0.0637
36,0.0679
37,0.0647
38,0.0643
39,0.0643
40,0.0788
41,0.0778
42,0.078
43,0.0749
44,0.0776
45,0.078
46,0.0793
47,0.0826
48,0.0781
49,0.0755
50,0.0925
51,0.0903
52,0.0899
53,0.0899
54,0.0879
55,0.0896
56,0.0891
57,0.0838
58,0.0913
59,0.0909
60,0.0967
61,0.0957
62,0.0993
63,0.1005
64,0.1001
65,0.0993
66,0.0983
67,0.0926
68,0.1
69,0.0961
70,0.1022
71,0.101
72,0.1053
73,0.1115
74,0.1051
75,0.1026
76,0.1031
77,0.1029
78,0.101
79,0.1059
80,0.116
81,0.1061
82,0.1091
83,0.1135
84,0.1067
85,0.1033
86,0.1099
87,0.1079
88,0.1084
89,0.1088
90,0.1112
91,0.1136
92,0.111
93,0.107
94,0.1146
95,0.1141
96,0.1091
97,0.1095
98,0.1124
99,0.1141
